sku,product_name,brand,product_category,subcategory,model,price,warranty_months,launch_date,weight,colour,battery_capacity,connector_type,operating_system,compatibility,supplier_id,packaging_type
SKU-SMA-1001,SonicWave Smartphone 101,SonicWave,Smartphones,Smartphones Standard,MOD-2001,44.64,24,2023-05-06,3.73,White,2000,3.5mm Jack,iOS,Specific,SUP-101,Reinforced Case
SKU-LAP-1002,UltraLink Laptop 102,UltraLink,Laptops,Laptops Standard,MOD-2002,52.66,6,2023-04-22,3.05,White,4000,HDMI,N/A,Specific,SUP-103,Reinforced Case
SKU-HEA-1003,UltraLink Headphone 103,UltraLink,Headphones,Headphones Standard,MOD-2003,276.22,24,2024-02-19,3.52,Space Gray,2000,Lightning,N/A,Specific,SUP-104,Blister Pack
SKU-SMA-1004,PixelCraft Smartwatche 104,PixelCraft,Smartwatches,Smartwatches Standard,MOD-2004,1149.3,24,2023-02-22,0.57,Space Gray,2000,Bluetooth,N/A,iOS/Android,SUP-109,Pouch
SKU-CHA-1005,AeroTech Charger 105,AeroTech,Chargers,Chargers Standard,MOD-2005,879.73,6,2024-05-13,0.49,Space Gray,0,Bluetooth,N/A,iOS/Android,SUP-113,Reinforced Case
SKU-POW-1006,OmniGear Power Bank 106,OmniGear,Power Banks,Power Banks Standard,MOD-2006,699.16,6,2023-01-24,4.93,Silver,4000,Micro-USB,N/A,Specific,SUP-113,Box
SKU-TVS-1007,UltraLink TV 107,UltraLink,TVs,TVs Standard,MOD-2007,344.4,24,2023-03-25,1.84,Space Gray,0,Micro-USB,N/A,Specific,SUP-111,Box
SKU-TAB-1008,VoltMax Tablet 108,VoltMax,Tablets,Tablets Standard,MOD-2008,647.96,12,2023-03-25,3.47,Silver,5000,3.5mm Jack,Android,Specific,SUP-110,Pouch
SKU-CAM-1009,AeroTech Camera 109,AeroTech,Cameras,Cameras Standard,MOD-2009,286.42,6,2024-02-17,2.07,Midnight Black,0,Micro-USB,N/A,Specific,SUP-103,Reinforced Case
SKU-KEY-1010,OmniGear Keyboard 110,OmniGear,Keyboards,Keyboards Standard,MOD-2010,266.96,36,2023-07-22,2.35,Space Gray,0,3.5mm Jack,N/A,Specific,SUP-102,Blister Pack
SKU-MIC-1011,NexusCore Mice 111,NexusCore,Mice,Mice Standard,MOD-2011,900.21,36,2024-04-04,2.06,Silver,0,HDMI,N/A,Specific,SUP-102,Reinforced Case
SKU-SPE-1012,Zenith Speaker 112,Zenith,Speakers,Speakers Standard,MOD-2012,122.73,6,2024-03-16,3.17,Ocean Blue,2000,Lightning,N/A,Specific,SUP-109,Box
SKU-CAB-1013,UltraLink Cable 113,UltraLink,Cables,Cables Standard,MOD-2013,467.22,36,2023-09-28,4.86,Midnight Black,0,Micro-USB,N/A,Specific,SUP-110,Box
SKU-ROU-1014,NexusCore Router 114,NexusCore,Routers,Routers Standard,MOD-2014,925.79,24,2023-02-27,2.23,Ocean Blue,0,Micro-USB,N/A,Specific,SUP-100,Pouch
SKU-GAM-1015,VoltMax Gaming Accessorie 115,VoltMax,Gaming Accessories,Gaming Accessories Standard,MOD-2015,616.6,6,2024-03-21,1.56,White,0,3.5mm Jack,N/A,Specific,SUP-109,Blister Pack
SKU-SMA-1016,VoltMax Smartphone 116,VoltMax,Smartphones,Smartphones Standard,MOD-2016,458.09,12,2023-10-04,1.69,Midnight Black,2000,HDMI,Android,Specific,SUP-101,Pouch
SKU-LAP-1017,NexusCore Laptop 117,NexusCore,Laptops,Laptops Standard,MOD-2017,298.75,12,2024-03-25,3.69,Midnight Black,2000,USB-C,N/A,Universal,SUP-112,Reinforced Case
