sku,listing_title,listing_description,listed_compatibility,listed_accessories,listed_dimensions,listed_colour,listing_last_updated,content_quality_score,compatibility_information_present,installation_guide_present,image_accuracy_score
SKU-SMA-1001,SonicWave Smartphone 101 - High Performance,Official SonicWave Smartphones with 3.5mm Jack support.,iOS and Android,"Charger, User Manual, Cable",27x6x5 cm,White,2024-04-18,0.81,True,True,0.96
SKU-LAP-1002,UltraLink Laptop 102 - High Performance,Official UltraLink Laptops with HDMI support.,iOS and Android,"Charger, User Manual, Cable",30x13x4 cm,White,2024-02-26,0.37,True,False,0.46
SKU-HEA-1003,UltraLink Headphone 103 - High Performance,Official UltraLink Headphones with Lightning support.,iOS and Android,"Charger, User Manual, Cable",23x10x3 cm,Space Gray,2024-02-09,0.86,True,True,0.87
SKU-SMA-1004,PixelCraft Smartwatche 104 - High Performance,Official PixelCraft Smartwatches with Bluetooth support.,See Description,"Charger, User Manual, Cable",21x14x3 cm,Space Gray,2024-01-12,0.95,False,True,0.9
SKU-CHA-1005,AeroTech Charger 105 - High Performance,Official AeroTech Chargers with Bluetooth support.,iOS and Android,"Charger, User Manual, Cable",30x14x3 cm,Space Gray,2024-05-27,0.91,True,True,0.93
SKU-POW-1006,OmniGear Power Bank 106 - High Performance,Official OmniGear Power Banks with Micro-USB support.,iOS and Android,"Charger, User Manual, Cable",17x6x4 cm,Silver,2024-03-12,0.31,True,True,0.42
SKU-TVS-1007,UltraLink TV 107 - High Performance,Official UltraLink TVs with Micro-USB support.,iOS and Android,"Charger, User Manual, Cable",30x6x5 cm,Space Gray,2024-06-11,0.97,True,True,0.95
SKU-TAB-1008,VoltMax Tablet 108 - High Performance,Official VoltMax Tablets with 3.5mm Jack support.,See Description,"Charger, User Manual, Cable",30x13x2 cm,Silver,2024-06-24,0.35,False,True,0.7
SKU-CAM-1009,AeroTech Camera 109 - High Performance,Official AeroTech Cameras with Micro-USB support.,See Description,"Charger, User Manual, Cable",22x9x1 cm,Midnight Black,2024-02-24,0.95,False,True,0.97
SKU-KEY-1010,OmniGear Keyboard 110 - High Performance,Official OmniGear Keyboards with 3.5mm Jack support.,iOS and Android,"Charger, User Manual, Cable",30x12x2 cm,Space Gray,2024-03-08,0.91,True,True,0.92
SKU-MIC-1011,NexusCore Mice 111 - High Performance,Official NexusCore Mice with HDMI support.,iOS and Android,"Charger, User Manual, Cable",14x13x4 cm,Silver,2024-01-24,0.52,True,True,0.51
SKU-SPE-1012,Zenith Speaker 112 - High Performance,Official Zenith Speakers with Lightning support.,iOS and Android,"Charger, User Manual, Cable",29x6x4 cm,Ocean Blue,2024-04-07,0.97,True,False,0.95
SKU-CAB-1013,UltraLink Cable 113 - High Performance,Official UltraLink Cables with Micro-USB support.,iOS and Android,"Charger, User Manual, Cable",13x15x5 cm,Midnight Black,2024-03-09,0.89,True,True,0.99
SKU-ROU-1014,NexusCore Router 114 - High Performance,Official NexusCore Routers with Micro-USB support.,iOS and Android,"Charger, User Manual, Cable",18x13x2 cm,Ocean Blue,2024-05-09,0.87,True,False,0.85
SKU-GAM-1015,VoltMax Gaming Accessorie 115 - High Performance,Official VoltMax Gaming Accessories with 3.5mm Jack support.,iOS and Android,"Charger, User Manual, Cable",14x10x2 cm,White,2024-05-18,0.97,True,True,0.94
SKU-SMA-1016,VoltMax Smartphone 116 - High Performance,Official VoltMax Smartphones with HDMI support.,iOS and Android,"Charger, User Manual, Cable",13x10x3 cm,Midnight Black,2024-03-02,0.98,True,True,0.92
SKU-LAP-1017,NexusCore Laptop 117 - High Performance,Official NexusCore Laptops with Micro USB support.,iOS and Android,"Charger, User Manual, Cable",14x7x4 cm,Midnight Black,2024-05-20,0.33,True,False,0.63
SKU-HEA-1018,VoltMax Headphone 118 - High Performance,Official VoltMax Headphones with Micro-USB support.,iOS and Android,Device Only,16x9x4 cm,White,2024-06-20,0.59,True,False,0.63
SKU-SMA-1019,PixelCraft Smartwatche 119 - High Performance,Official PixelCraft Smartwatches with Bluetooth support.,iOS and Android,"Charger, User Manual, Cable",20x5x5 cm,Ocean Blue,2024-05-21,0.89,True,False,0.88
SKU-CHA-1020,PixelCraft Charger 120 - High Performance,Official PixelCraft Chargers with HDMI support.,See Description,"Charger, User Manual, Cable",11x10x1 cm,Silver,2024-05-11,0.84,False,True,0.88
